,title,subtitle,authors,categories
0,Gilead,,Marilynne Robinson,Fiction
1,Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories
2,The One Tree,,Stephen R. Donaldson,American fiction
3,Rage of angels,,Sidney Sheldon,Fiction
4,The Four Loves,,Clive Staples Lewis,Christian life
5,The Problem of Pain,,Clive Staples Lewis,Christian life
6,An Autobiography,,Agatha Christie,"Authors, English"
7,Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,"Africa, East"
8,The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)"
9,Master of the Game,,Sidney Sheldon,Adventure stories
10,If Tomorrow Comes,,Sidney Sheldon,Adventure stories
11,Assassin's Apprentice,,Robin Hobb,American fiction
12,Warhost of Vastmark,,Janny Wurts,Fiction
13,The Once and Future King,,Terence Hanbury White,Arthurian romances
14,Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,Adventure stories
15,Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,Fantasy fiction
17,Witness for the Prosecution & Selected Plays,,Agatha Christie,English drama
18,The Little House,,Philippa Gregory,Country life
19,Mystical Paths,,Susan Howatch,English fiction
20,Glittering Images,,Susan Howatch,English fiction
21,Glamorous Powers,,Susan Howatch,Clergy
22,The Mad Ship,,Robin Hobb,Fantasy fiction
23,Post Captain,,Patrick O'Brian,"Aubrey, Jack (Fictitious character)"
24,The Reverse of the Medal,,Patrick O'Brian,Adventure stories
25,Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English"
26,The Years of Rice and Salt,,Kim Stanley Robinson,Black Death
27,Spares,,Michael Marshall Smith,Human cloning
28,Gravity,,Tess Gerritsen,Science fiction
29,The Wise Woman,,Philippa Gregory,Great Britain
30,Girls' Night in,,Jessica Adams;Chris Manby;Fiona Walker,American fiction
31,The White Album,,Joan Didion,American essays
32,The Bonesetter's Daughter,,Amy Tan,China
33,The Lexus and the Olive Tree,,Thomas L. Friedman,Capitalism
34,'Tis,A Memoir,Frank McCourt,Ireland
35,Ocean Star Express,,Mark Haddon;Peter Sutton,Juvenile Fiction
36,A Small Pinch of Weather,And Other Stories,Joan Aiken,"Children's stories, English"
37,The Princess of the Chalet School,,Elinor Mary Brent-Dyer,Juvenile Fiction
38,Koko,,Peter Straub,Male friendship
39,Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections
40,Partners in Crime,,Agatha Christie,"Beresford, Tommy (Fictitious character)"
41,Murder in Mesopotamia,,Agatha Christie,Detective and mystery stories
42,"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,Imaginary wars and battles
43,All Families are Psychotic,,Douglas Coupland,Dysfunctional families
44,Death in the Clouds,,Agatha Christie,Detective and mystery stories
45,Appointment with Death,,Agatha Christie,Detective and mystery stories
46,Hallowe'en Party,,Agatha Christie,"Poirot, Hercule (Fictitious character)"
47,Hercule Poirot's Christmas,,Agatha Christie,Christmas stories
48,The Big Four,,Agatha Christie,Detective and mystery stories
49,The Thirteen Problems,,Agatha Christie,"Detective and mystery stories, English"
50,They Do it with Mirrors,,Agatha Christie,American fiction
51,A Murder is Announced,,Agatha Christie,"Detective and mystery stories, English"
52,The Mirror Crack'd from Side to Side,,Agatha Christie,"Marple, Jane (Fictitious character)"
